l1cordx,l2cordx,l3cordx,l1cordy,l2cordy,l3cordy,r1cordx,r2cordx,r3cordx,r1cordy,r2cordy,r3cordy,isSame,whichDirection,retentionDuration,l_words_word1,l_words_word2,l_words_word3,r_words_word1,r_words_word2,r_words_word3,subWord
922,914,910,530,485,563,1007,1022,1006,543,493,595,2,1,0.966040448502804,alarm,watch,taste,relax,group,taste,clean
897,910,902,476,596,565,1007,1016,1012,536,606,484,1,1,0.945940239574224,clean,alarm,group,clean,relax,watch,nan
894,920,917,504,540,579,1011,1014,1018,554,478,512,1,1,0.922789728399038,taste,relax,alarm,watch,relax,alarm,nan
913,896,898,488,527,564,1024,1008,1000,541,579,492,1,2,0.962184542690721,taste,clean,alarm,relax,group,taste,nan
913,908,924,564,490,532,1007,1026,1015,582,485,519,1,2,0.945686464427148,watch,relax,clean,group,relax,alarm,nan
910,913,900,563,532,496,1014,1021,994,540,490,603,2,2,1.0303994334434,group,watch,relax,relax,clean,taste,group
893,899,896,566,597,523,997,994,1011,528,604,558,2,1,0.913232024919665,relax,clean,alarm,group,relax,taste,taste
916,913,895,481,514,601,1005,998,1013,474,565,520,2,1,0.955086275972183,taste,group,clean,group,alarm,relax,alarm
925,894,919,477,577,545,999,1010,994,605,529,497,1,1,0.956364047512173,watch,alarm,relax,group,relax,watch,nan
922,912,920,517,551,588,1002,1013,1024,527,581,497,2,2,1.07601325194521,relax,watch,alarm,clean,alarm,group,watch
897,921,918,508,600,559,1006,1003,1022,606,531,494,2,1,0.988866071739847,relax,group,taste,watch,relax,group,watch
905,910,918,494,598,530,1003,1008,1020,485,574,523,1,2,1.05118282418159,group,relax,alarm,group,taste,watch,nan
901,907,925,562,524,491,1001,1007,1020,485,605,564,2,2,1.02065927516307,taste,alarm,watch,clean,alarm,group,relax
912,898,908,557,500,605,1015,998,1006,570,477,540,1,1,1.05665318748081,watch,group,relax,alarm,group,relax,nan
913,894,919,596,563,488,1021,1026,999,517,565,483,1,2,0.922786127735685,group,alarm,relax,clean,relax,watch,nan
903,918,907,602,489,539,1001,1006,1005,481,518,600,1,1,1.095712777032,taste,group,alarm,alarm,group,relax,nan
920,920,924,522,562,601,1024,1022,1015,600,561,486,1,1,1.06971933509591,taste,relax,alarm,taste,relax,clean,nan
919,903,893,485,565,528,1019,995,1025,540,603,476,1,2,0.910129299534109,clean,alarm,taste,alarm,taste,watch,nan
919,897,926,572,474,521,1012,1008,997,537,577,493,1,2,0.993240366758127,relax,clean,alarm,taste,alarm,group,nan
905,905,912,545,485,592,1026,996,1018,561,476,602,1,2,0.965130654989607,clean,relax,taste,relax,alarm,taste,nan
895,921,904,607,532,493,1013,1004,995,581,543,486,1,2,1.02604102499995,group,watch,relax,alarm,clean,group,nan
917,921,911,553,597,518,1001,1025,1019,600,527,493,2,1,0.946059832755535,watch,clean,relax,watch,taste,alarm,taste
926,915,903,532,486,569,1022,1022,1009,506,604,567,2,2,1.01597699465626,watch,group,clean,group,clean,alarm,watch
898,925,898,479,581,536,1023,999,995,499,579,545,1,1,1.02063126408798,alarm,relax,watch,watch,relax,clean,nan
897,924,915,510,479,579,1004,1012,1022,597,549,498,1,2,1.01997581916657,alarm,relax,group,group,watch,clean,nan
923,897,916,587,539,488,1005,1004,999,562,496,531,1,2,0.989685576076783,taste,relax,alarm,watch,alarm,clean,nan
909,915,919,570,529,480,1022,1024,998,490,530,607,2,2,0.907084692136558,relax,taste,clean,taste,group,watch,alarm
921,909,904,606,487,518,1010,996,1003,524,586,479,1,1,1.00276296700766,clean,taste,relax,group,alarm,clean,nan
920,895,901,478,597,523,995,1020,1004,502,539,592,1,2,0.981546032354527,relax,alarm,group,group,relax,taste,nan
899,923,904,607,531,566,1020,999,1014,478,547,591,2,2,0.921609207323112,relax,watch,group,watch,taste,relax,clean
901,909,904,529,599,487,1008,1018,1016,513,481,553,1,1,0.991975125788463,group,alarm,relax,clean,taste,relax,nan
895,919,924,494,593,532,1003,1001,1027,473,600,533,1,2,0.990176550735166,group,clean,watch,group,taste,watch,nan
913,895,918,477,527,561,1005,1001,1027,544,482,513,1,2,1.01022806716088,clean,relax,taste,clean,taste,group,nan
919,902,902,540,582,504,1006,1001,1019,551,501,584,1,2,1.0610808634016,relax,group,watch,alarm,watch,taste,nan
910,915,913,589,547,475,1020,1026,1003,525,557,492,1,1,1.04017001455721,taste,relax,alarm,watch,taste,group,nan
894,897,918,510,554,592,995,1006,1026,571,530,474,2,2,1.07444710078432,relax,watch,clean,clean,relax,taste,alarm
926,914,921,546,588,508,1018,1015,1007,487,607,562,2,1,0.91043843048578,clean,taste,alarm,relax,watch,group,group
910,906,923,550,500,602,1023,995,1001,561,501,601,2,2,0.943936262281069,watch,relax,taste,alarm,clean,group,watch
904,918,913,476,541,591,1003,1001,1015,588,492,532,1,1,0.991928402022273,watch,group,relax,taste,relax,group,nan
899,915,895,490,559,593,1016,1023,994,523,482,560,1,1,1.0917067192258,relax,watch,clean,watch,group,alarm,nan
914,906,900,576,544,482,1001,1009,995,533,568,475,1,2,1.05800907139589,alarm,relax,clean,relax,clean,taste,nan
912,903,922,580,538,490,1015,994,1000,477,607,566,2,2,0.9903749218085,watch,taste,relax,alarm,group,relax,watch
918,904,907,605,553,509,996,1009,1000,486,594,544,1,1,0.966685637292173,watch,clean,relax,clean,alarm,relax,nan
898,924,915,492,577,544,1026,1021,1018,595,498,563,1,2,0.911819062536016,relax,watch,group,clean,taste,watch,nan
905,908,919,480,559,592,1014,1023,1009,520,551,592,1,2,1.04818106057872,clean,relax,group,taste,relax,clean,nan
898,908,901,533,475,589,1007,1004,1022,482,558,591,2,2,1.0013589048111,group,alarm,watch,clean,watch,relax,alarm
921,908,911,502,596,566,995,1002,1007,488,597,554,2,1,0.939985082627871,watch,relax,taste,group,taste,alarm,clean
904,925,900,513,548,580,1022,1022,1022,589,543,498,2,1,0.985438710220258,clean,relax,alarm,watch,clean,alarm,group
902,900,893,596,519,482,1014,1008,1019,479,588,527,1,2,0.933738055742454,group,taste,watch,alarm,watch,taste,nan
893,922,919,588,485,547,1022,1011,1013,500,579,535,2,1,1.05033891817094,alarm,group,relax,taste,group,alarm,clean
920,893,893,596,543,480,1011,1000,999,526,496,575,1,1,0.97367016832576,taste,alarm,relax,alarm,clean,relax,nan
909,904,906,593,535,504,994,999,1011,580,537,484,2,2,1.08836355904798,group,clean,taste,group,watch,clean,taste
911,918,901,485,595,546,1025,1024,1009,537,607,569,1,2,0.903434508182143,taste,relax,alarm,clean,taste,watch,nan
922,904,900,585,540,486,1007,1027,1006,475,514,603,2,2,1.06581118175576,relax,clean,group,alarm,clean,watch,relax
917,914,915,522,583,489,1018,1007,997,474,600,545,1,2,1.02531819499106,clean,group,alarm,alarm,relax,taste,nan
915,908,924,487,602,530,999,1021,1002,486,533,574,1,1,1.00774930303144,clean,group,taste,relax,watch,group,nan
899,893,893,524,474,603,1021,1026,1005,524,492,572,2,1,1.03010152707601,alarm,relax,clean,alarm,clean,group,watch
911,913,918,515,601,476,1024,1024,1006,603,492,527,2,1,1.0453259064613,watch,alarm,clean,clean,relax,watch,group
925,913,920,578,533,480,1020,1022,999,583,550,501,1,1,0.918897712784116,group,watch,alarm,watch,alarm,clean,nan
913,915,923,479,544,576,1019,1017,1004,573,526,495,2,2,1.07551478686153,clean,taste,alarm,watch,clean,alarm,group
920,904,926,475,599,555,1007,999,1003,568,484,532,2,2,0.902872428789197,clean,taste,relax,group,clean,alarm,relax
926,909,897,538,488,588,1017,1002,1021,561,497,605,1,1,0.958860525369247,relax,watch,alarm,alarm,relax,taste,nan
923,916,910,590,544,476,1013,1008,1005,548,507,607,1,2,0.935982975700848,alarm,group,clean,alarm,group,clean,nan
900,923,920,598,481,565,1013,994,1023,533,480,566,1,1,1.08525885363959,alarm,clean,group,watch,alarm,clean,nan
894,895,914,587,479,543,1005,1003,1003,529,492,572,1,2,0.913636087365407,taste,group,watch,clean,alarm,watch,nan
908,896,925,504,594,546,1017,1027,1020,601,476,552,2,1,1.0162186455157,clean,watch,relax,clean,taste,alarm,alarm
893,915,925,521,476,585,999,1004,1014,569,524,493,2,2,1.02743024450504,taste,clean,watch,relax,group,watch,alarm
909,918,925,533,494,576,994,1013,994,522,578,491,2,1,1.03025385295299,watch,alarm,taste,group,alarm,watch,clean
925,926,895,591,482,537,1013,1014,1017,508,606,563,2,2,1.07292440250671,alarm,clean,watch,taste,clean,watch,relax
901,897,907,483,522,581,1012,1024,994,505,541,589,2,2,0.911190505881404,taste,clean,group,group,clean,alarm,relax
906,905,904,510,549,476,1012,1007,1017,607,555,476,1,1,1.06337103475477,clean,watch,group,relax,taste,clean,nan
907,915,897,481,595,561,1017,1017,1023,579,531,490,2,2,1.00578449326569,group,relax,taste,watch,relax,group,clean
921,905,897,600,546,514,1025,1001,1008,489,564,606,2,1,1.03887011212449,alarm,taste,relax,taste,clean,watch,group
920,922,920,492,523,599,1025,996,1015,476,513,595,1,1,0.942480979256367,group,watch,taste,clean,relax,taste,nan
908,903,910,480,602,563,1024,1015,1013,599,556,522,2,2,1.00865598924997,relax,group,alarm,relax,alarm,watch,group
906,897,924,481,605,512,1014,1017,1001,550,582,492,2,1,1.04050405443069,clean,alarm,relax,group,clean,watch,watch
924,915,926,486,557,527,1025,1004,1020,529,474,593,2,2,1.09128691145209,taste,clean,relax,relax,watch,clean,alarm
918,900,907,549,492,588,998,1013,1003,482,562,528,2,1,0.988908432574694,alarm,relax,taste,clean,watch,relax,watch
918,922,905,497,607,542,1005,1004,1025,533,571,605,2,2,0.917079566162529,clean,taste,relax,relax,alarm,watch,group
925,918,900,554,497,590,995,1021,1004,567,483,600,1,2,0.911468029508252,relax,alarm,taste,relax,watch,taste,nan
910,907,908,544,604,511,1012,1006,1012,603,485,523,1,2,1.0258900972199,taste,clean,group,clean,alarm,watch,nan
919,893,902,481,552,594,1018,1017,1005,519,488,600,1,1,1.05923581329969,group,watch,relax,watch,clean,alarm,nan
908,898,908,573,542,489,1000,1015,1002,476,550,516,1,2,1.03823826657163,alarm,watch,taste,taste,clean,alarm,nan
921,902,907,509,597,552,1008,1026,1012,558,519,602,2,2,0.969061572443033,group,clean,alarm,clean,taste,relax,group
906,922,901,545,599,507,997,1000,997,518,563,476,1,1,1.08936333343232,taste,clean,relax,group,clean,watch,nan
918,913,897,565,491,604,1004,1014,998,594,528,561,1,1,1.0040380636423,taste,clean,relax,watch,clean,taste,nan
926,904,907,506,558,602,1020,996,997,602,513,570,1,2,1.09076260503959,alarm,watch,relax,watch,relax,taste,nan
910,902,910,475,505,547,1012,1012,1004,546,477,582,1,2,0.91471912716164,group,taste,relax,relax,group,taste,nan
907,907,904,588,553,499,1020,1022,1021,522,607,568,1,1,0.941406389614615,group,watch,taste,watch,group,relax,nan
900,923,916,481,605,557,1015,995,1011,475,594,523,1,1,1.05500556279639,group,alarm,clean,alarm,taste,clean,nan
904,924,908,482,514,584,1024,1005,1023,588,540,488,2,1,1.08283756424875,relax,watch,clean,group,taste,watch,group
896,910,907,474,571,529,996,1017,1027,579,524,483,1,1,1.05651012954206,clean,watch,group,group,watch,relax,nan
905,914,919,599,566,509,1000,1023,1005,489,599,553,1,1,0.959106839232975,alarm,group,watch,group,clean,relax,nan
904,917,920,545,586,505,1008,1010,1001,606,574,533,2,1,0.930369144462897,watch,taste,alarm,relax,group,taste,clean
904,894,918,543,600,475,1019,1027,1011,489,580,540,2,1,1.06958210446276,watch,relax,taste,watch,relax,taste,clean
920,912,919,524,486,599,1024,1008,1006,607,575,542,1,1,1.05697091821863,group,watch,relax,group,relax,taste,nan
911,894,910,523,491,561,994,1003,1023,501,562,532,1,1,0.954166300430264,taste,relax,alarm,relax,clean,group,nan
910,907,911,494,557,597,998,1010,1002,529,598,492,1,2,0.945562140963227,group,clean,taste,group,taste,alarm,nan
919,908,914,605,570,498,1008,999,1022,475,530,600,1,1,0.96420464341779,relax,group,alarm,group,relax,alarm,nan
